,station,date,tobs
0,USC00519397,2016-05-14,77.0
1,USC00519397,2016-05-15,78.0
2,USC00519397,2016-05-16,77.0
3,USC00519397,2016-05-17,78.0
4,USC00519397,2016-05-18,79.0
5,USC00519397,2016-05-19,78.0
6,USC00519397,2016-05-20,77.0
7,USC00519397,2016-05-21,76.0
8,USC00519397,2016-05-22,78.0
9,USC00519397,2016-05-23,79.0
10,USC00519397,2016-05-24,77.0
11,USC00519397,2016-05-25,77.0
12,USC00519397,2016-05-26,76.0
13,USC00519397,2016-05-27,79.0
14,USC00519397,2016-05-28,75.0
15,USC00519397,2016-05-29,73.0
16,USC00519397,2016-05-30,71.0
17,USC00519397,2016-05-31,74.0
18,USC00519397,2016-06-01,76.0
19,USC00519397,2016-06-02,71.0
20,USC00519397,2016-06-03,71.0
21,USC00519397,2016-06-04,74.0
22,USC00519397,2016-06-05,76.0
23,USC00519397,2016-06-06,78.0
24,USC00519397,2016-06-07,77.0
25,USC00519397,2016-06-08,77.0
26,USC00519397,2016-06-09,73.0
27,USC00519397,2016-06-10,77.0
28,USC00519397,2016-06-11,78.0
29,USC00519397,2016-06-12,78.0
30,USC00519397,2016-06-13,80.0
31,USC00519397,2016-06-14,79.0
32,USC00519397,2016-06-15,78.0
33,USC00519397,2016-06-16,77.0
34,USC00519397,2016-06-17,76.0
35,USC00519397,2016-06-18,77.0
36,USC00519397,2016-06-19,77.0
37,USC00519397,2016-06-20,78.0
38,USC00519397,2016-06-21,80.0
39,USC00519397,2016-06-22,79.0
40,USC00519397,2016-06-23,79.0
41,USC00519397,2016-06-24,77.0
42,USC00519397,2016-06-25,78.0
43,USC00519397,2016-06-26,79.0
44,USC00519397,2016-06-27,80.0
45,USC00519397,2016-06-28,76.0
46,USC00519397,2016-06-29,79.0
47,USC00519397,2016-06-30,80.0
48,USC00519397,2016-07-01,79.0
49,USC00519397,2016-07-02,79.0
50,USC00519397,2016-07-03,77.0
51,USC00519397,2016-07-04,79.0
52,USC00519397,2016-07-05,78.0
53,USC00519397,2016-07-06,78.0
54,USC00519397,2016-07-07,80.0
55,USC00519397,2016-07-08,80.0
56,USC00519397,2016-07-09,80.0
57,USC00519397,2016-07-10,78.0
58,USC00519397,2016-07-11,72.0
59,USC00519397,2016-07-12,80.0
60,USC00519397,2016-07-13,79.0
61,USC00519397,2016-07-14,79.0
62,USC00519397,2016-07-15,78.0
63,USC00519397,2016-07-16,78.0
64,USC00519397,2016-07-17,78.0
65,USC00519397,2016-07-18,76.0
66,USC00519397,2016-07-19,78.0
67,USC00519397,2016-07-20,78.0
68,USC00519397,2016-07-21,78.0
69,USC00519397,2016-07-22,76.0
70,USC00519397,2016-07-23,78.0
71,USC00519397,2016-07-24,79.0
72,USC00519397,2016-07-25,78.0
73,USC00519397,2016-07-26,80.0
74,USC00519397,2016-07-27,80.0
75,USC00519397,2016-07-28,80.0
76,USC00519397,2016-07-29,79.0
77,USC00519397,2016-07-30,78.0
78,USC00519397,2016-07-31,76.0
79,USC00519397,2016-08-01,77.0
80,USC00519397,2016-08-02,78.0
81,USC00519397,2016-08-03,80.0
82,USC00519397,2016-08-04,80.0
83,USC00519397,2016-08-05,80.0
84,USC00519397,2016-08-06,80.0
85,USC00519397,2016-08-07,77.0
86,USC00519397,2016-08-08,81.0
87,USC00519397,2016-08-09,80.0
88,USC00519397,2016-08-10,80.0
89,USC00519397,2016-08-11,80.0
90,USC00519397,2016-08-12,79.0
91,USC00519397,2016-08-13,79.0
92,USC00519397,2016-08-14,79.0
93,USC00519397,2016-08-15,79.0
94,USC00519397,2016-08-16,80.0
95,USC00519397,2016-08-17,78.0
96,USC00519397,2016-08-18,80.0
97,USC00519397,2016-08-19,77.0
98,USC00519397,2016-08-20,80.0
99,USC00519397,2016-08-21,76.0
100,USC00519397,2016-08-22,77.0
101,USC00519397,2016-08-23,81.0
102,USC00519397,2016-08-24,79.0
103,USC00519397,2016-08-25,80.0
104,USC00519397,2016-08-26,79.0
105,USC00519397,2016-08-27,77.0
106,USC00519397,2016-08-28,78.0
107,USC00519397,2016-08-29,78.0
108,USC00519397,2016-08-30,79.0
109,USC00519397,2016-08-31,80.0
110,USC00519397,2016-09-01,81.0
111,USC00519397,2016-09-02,80.0
112,USC00519397,2016-09-03,79.0
113,USC00519397,2016-09-04,75.0
114,USC00519397,2016-09-05,79.0
115,USC00519397,2016-09-06,76.0
116,USC00519397,2016-09-07,76.0
117,USC00519397,2016-09-08,80.0
118,USC00519397,2016-09-09,79.0
119,USC00519397,2016-09-10,78.0
120,USC00519397,2016-09-11,76.0
121,USC00519397,2016-09-12,78.0
122,USC00519397,2016-09-13,78.0
123,USC00519397,2016-09-14,75.0
124,USC00519397,2016-09-15,79.0
125,USC00519397,2016-09-16,80.0
126,USC00519397,2016-09-17,79.0
127,USC00519397,2016-09-18,81.0
128,USC00519397,2016-09-19,77.0
129,USC00519397,2016-09-20,77.0
130,USC00519397,2016-09-21,78.0
131,USC00519397,2016-09-22,76.0
132,USC00519397,2016-09-23,82.0
133,USC00519397,2016-09-24,81.0
134,USC00519397,2016-09-25,78.0
135,USC00519397,2016-09-26,80.0
136,USC00519397,2016-09-27,80.0
137,USC00519397,2016-09-28,79.0
138,USC00519397,2016-09-29,80.0
139,USC00519397,2016-09-30,80.0
140,USC00519397,2016-10-01,80.0
141,USC00519397,2016-10-02,79.0
142,USC00519397,2016-10-03,79.0
143,USC00519397,2016-10-04,79.0
144,USC00519397,2016-10-05,80.0
145,USC00519397,2016-10-06,80.0
146,USC00519397,2016-10-07,79.0
147,USC00519397,2016-10-08,78.0
148,USC00519397,2016-10-09,76.0
149,USC00519397,2016-10-10,75.0
150,USC00519397,2016-10-11,80.0
151,USC00519397,2016-10-12,80.0
152,USC00519397,2016-10-13,79.0
153,USC00519397,2016-10-14,80.0
154,USC00519397,2016-10-15,79.0
